id,value
Consumer Services|Other Specialty Stores|REAL(2.458B),2.458B
Consumer Services|Other Specialty Stores|RH(9.949B),9.949B
Consumer Services|Other Specialty Stores|SBH(1.790B),1.790B
Consumer Services|Other Specialty Stores|SECO(0.208B),0.208B
Consumer Services|Other Specialty Stores|SGU(0.391B),0.391B
Consumer Services|Other Specialty Stores|SPH(0.956B),0.956B
Consumer Services|Other Specialty Stores|SPWH(0.763B),0.763B
Consumer Services|Other Specialty Stores|STIC(0.477B),0.477B
Consumer Services|Other Specialty Stores|TITN(0.527B),0.527B
Consumer Services|Other Specialty Stores|TKAT(0.046B),0.046B
Consumer Services|Other Specialty Stores|ULTA(17.970B),17.970B
Consumer Services|Other Specialty Stores|WINA(0.667B),0.667B
Consumer Services|Other Specialty Stores|WOOF(7.097B),7.097B
Consumer Services|Other Specialty Stores|YJ(0.665B),0.665B
Consumer Services|Other Specialty Stores|ZAGG(0.130B),0.130B
Consumer Services|Paper|VRTV(0.345B),0.345B
Consumer Services|Professional Services|AINC(0.022B),0.022B
Consumer Services|Professional Services|AMEH(0.870B),0.870B
Consumer Services|Professional Services|ARC(0.106B),0.106B
Consumer Services|Professional Services|ATCX(0.143B),0.143B
Consumer Services|Professional Services|ATIF(0.071B),0.071B
Consumer Services|Professional Services|AVCO(0.118B),0.118B
Consumer Services|Professional Services|BAH(10.966B),10.966B
Consumer Services|Professional Services|EXPO(4.924B),4.924B
Consumer Services|Professional Services|FCN(3.900B),3.900B
Consumer Services|Professional Services|G(7.581B),7.581B
Consumer Services|Professional Services|GIB(19.632B),19.632B
Consumer Services|Professional Services|HCKT(0.436B),0.436B
Consumer Services|Professional Services|HURN(1.246B),1.246B
Consumer Services|Professional Services|HUSN(0.029B),0.029B
Consumer Services|Professional Services|ICFI(1.563B),1.563B
Consumer Services|Professional Services|III(0.179B),0.179B
Consumer Services|Professional Services|LTBR(0.047B),0.047B
Consumer Services|Professional Services|MEG(0.983B),0.983B
Consumer Services|Professional Services|MHH(0.179B),0.179B
Consumer Services|Professional Services|RMR(1.172B),1.172B
Consumer Services|Professional Services|WHLM(0.033B),0.033B
Consumer Services|Publishing|TRI(40.755B),40.755B
Consumer Services|RETAIL: Building Materials|ASPN(0.653B),0.653B
Consumer Services|RETAIL: Building Materials|BCC(1.946B),1.946B
Consumer Services|RETAIL: Building Materials|BECN(3.232B),3.232B
Consumer Services|RETAIL: Building Materials|BLDR(8.216B),8.216B
Consumer Services|RETAIL: Building Materials|FAST(27.159B),27.159B
Consumer Services|RETAIL: Building Materials|FND(10.154B),10.154B
Consumer Services|RETAIL: Building Materials|GMS(1.382B),1.382B
Consumer Services|RETAIL: Building Materials|GRWG(3.062B),3.062B
Consumer Services|RETAIL: Building Materials|HBP(0.108B),0.108B
Consumer Services|RETAIL: Building Materials|HD(304.732B),304.732B
Consumer Services|RETAIL: Building Materials|JCTCF(0.037B),0.037B
Consumer Services|RETAIL: Building Materials|LL(0.803B),0.803B
Consumer Services|RETAIL: Building Materials|LOW(133.224B),133.224B
Consumer Services|RETAIL: Building Materials|SGBX(0.054B),0.054B
Consumer Services|RETAIL: Building Materials|SHW(66.008B),66.008B
Consumer Services|RETAIL: Building Materials|TSCO(20.025B),20.025B
Consumer Services|Real Estate Investment Trusts|AAIC(0.132B),0.132B
Consumer Services|Real Estate Investment Trusts|AAT(1.769B),1.769B
Consumer Services|Real Estate Investment Trusts|ABR(1.897B),1.897B
Consumer Services|Real Estate Investment Trusts|ACC(5.841B),5.841B
Consumer Services|Real Estate Investment Trusts|ACRE(0.454B),0.454B
Consumer Services|Real Estate Investment Trusts|ADC(4.046B),4.046B
Consumer Services|Real Estate Investment Trusts|AFIN(0.907B),0.907B
Consumer Services|Real Estate Investment Trusts|AFINO(nan),
Consumer Services|Real Estate Investment Trusts|AFINP(0.000B),0.000B
Consumer Services|Real Estate Investment Trusts|AGNC(8.686B),8.686B
Consumer Services|Real Estate Investment Trusts|AGNCM(0.000B),0.000B
Consumer Services|Real Estate Investment Trusts|AGNCN(0.000B),0.000B
Consumer Services|Real Estate Investment Trusts|AGNCO(0.000B),0.000B
Consumer Services|Real Estate Investment Trusts|AGNCP(0.000B),0.000B
Consumer Services|Real Estate Investment Trusts|AHT(0.239B),0.239B
Consumer Services|Real Estate Investment Trusts|AIC(0.000B),0.000B
Consumer Services|Real Estate Investment Trusts|AIRC(12.834B),12.834B
Consumer Services|Real Estate Investment Trusts|AIV(1.455B),1.455B
Consumer Services|Real Estate Investment Trusts|AIW(0.000B),0.000B
Consumer Services|Real Estate Investment Trusts|AJX(0.238B),0.238B
Consumer Services|Real Estate Investment Trusts|AJXA(0.000B),0.000B
Consumer Services|Real Estate Investment Trusts|AKR(1.578B),1.578B
Consumer Services|Real Estate Investment Trusts|ALEX(1.242B),1.242B
Consumer Services|Real Estate Investment Trusts|ALX(1.345B),1.345B
Consumer Services|Real Estate Investment Trusts|AMH(9.776B),9.776B
Consumer Services|Real Estate Investment Trusts|AMT(101.396B),101.396B
Consumer Services|Real Estate Investment Trusts|ANH(0.262B),0.262B
Consumer Services|Real Estate Investment Trusts|APLE(3.150B),3.150B
Consumer Services|Real Estate Investment Trusts|APTS(0.402B),0.402B
Consumer Services|Real Estate Investment Trusts|ARE(23.007B),23.007B
Consumer Services|Real Estate Investment Trusts|ARI(1.757B),1.757B
Consumer Services|Real Estate Investment Trusts|ARR(0.759B),0.759B
Consumer Services|Real Estate Investment Trusts|AVB(24.818B),24.818B
Consumer Services|Real Estate Investment Trusts|BDN(1.987B),1.987B
Consumer Services|Real Estate Investment Trusts|BFS(0.800B),0.800B
Consumer Services|Real Estate Investment Trusts|BHR(0.238B),0.238B
Consumer Services|Real Estate Investment Trusts|BNL(2.712B),2.712B
Consumer Services|Real Estate Investment Trusts|BPYU(0.722B),0.722B
Consumer Services|Real Estate Investment Trusts|BPYUP(0.000B),0.000B
Consumer Services|Real Estate Investment Trusts|BRG(0.245B),0.245B
Consumer Services|Real Estate Investment Trusts|BRMK(1.373B),1.373B
Consumer Services|Real Estate Investment Trusts|BRT(0.266B),0.266B
Consumer Services|Real Estate Investment Trusts|BRX(5.710B),5.710B
Consumer Services|Real Estate Investment Trusts|BXMT(4.132B),4.132B
Consumer Services|Real Estate Investment Trusts|BXP(14.275B),14.275B
Consumer Services|Real Estate Investment Trusts|CDOR(0.063B),0.063B
Consumer Services|Real Estate Investment Trusts|CDR(0.171B),0.171B
Consumer Services|Real Estate Investment Trusts|CHCT(1.105B),1.105B
Consumer Services|Real Estate Investment Trusts|CHMI(0.161B),0.161B
Consumer Services|Real Estate Investment Trusts|CIM(2.573B),2.573B
Consumer Services|Real Estate Investment Trusts|CIO(0.437B),0.437B
Consumer Services|Real Estate Investment Trusts|CLDT(0.577B),0.577B
Consumer Services|Real Estate Investment Trusts|CLI(1.250B),1.250B
Consumer Services|Real Estate Investment Trusts|CLNC(1.058B),1.058B
Consumer Services|Real Estate Investment Trusts|CLNY(2.532B),2.532B
Consumer Services|Real Estate Investment Trusts|CLPR(0.121B),0.121B
Consumer Services|Real Estate Investment Trusts|CMCT(0.181B),0.181B
Consumer Services|Real Estate Investment Trusts|CMCTP(0.000B),0.000B
Consumer Services|Real Estate Investment Trusts|CMO(0.540B),0.540B
Consumer Services|Real Estate Investment Trusts|COLD(8.903B),8.903B
Consumer Services|Real Estate Investment Trusts|CONE(8.372B),8.372B
Consumer Services|Real Estate Investment Trusts|COR(5.171B),5.171B
Consumer Services|Real Estate Investment Trusts|CORR(0.107B),0.107B
Consumer Services|Real Estate Investment Trusts|CPLG(0.475B),0.475B
Consumer Services|Real Estate Investment Trusts|CPT(10.321B),10.321B
Consumer Services|Real Estate Investment Trusts|CTRE(2.143B),2.143B
Consumer Services|Real Estate Investment Trusts|CTT(0.514B),0.514B
Consumer Services|Real Estate Investment Trusts|CUBE(7.026B),7.026B
Consumer Services|Real Estate Investment Trusts|CUZ(4.956B),4.956B
Consumer Services|Real Estate Investment Trusts|CXP(1.614B),1.614B
Consumer Services|Real Estate Investment Trusts|CXW(0.831B),0.831B
Consumer Services|Real Estate Investment Trusts|DEA(1.755B),1.755B
Consumer Services|Real Estate Investment Trusts|DEI(4.933B),4.933B
Consumer Services|Real Estate Investment Trusts|DHC(1.022B),1.022B
Consumer Services|Real Estate Investment Trusts|DHCNI(0.000B),0.000B
Consumer Services|Real Estate Investment Trusts|DHCNL(0.000B),0.000B
Consumer Services|Real Estate Investment Trusts|DLR(38.663B),38.663B
Consumer Services|Real Estate Investment Trusts|DOC(3.667B),3.667B
Consumer Services|Real Estate Investment Trusts|DRE(15.257B),15.257B
Consumer Services|Real Estate Investment Trusts|DRH(1.931B),1.931B
Consumer Services|Real Estate Investment Trusts|DX(0.504B),0.504B
Consumer Services|Real Estate Investment Trusts|EARN(0.149B),0.149B
Consumer Services|Real Estate Investment Trusts|EGP(5.580B),5.580B
Consumer Services|Real Estate Investment Trusts|ELS(11.380B),11.380B
Consumer Services|Real Estate Investment Trusts|EPR(3.129B),3.129B
Consumer Services|Real Estate Investment Trusts|EPRT(2.407B),2.407B
Consumer Services|Real Estate Investment Trusts|EQC(3.489B),3.489B
Consumer Services|Real Estate Investment Trusts|EQIX(61.085B),61.085B
Consumer Services|Real Estate Investment Trusts|EQR(24.754B),24.754B
Consumer Services|Real Estate Investment Trusts|ESRT(2.770B),2.770B
Consumer Services|Real Estate Investment Trusts|ESS(17.260B),17.260B
Consumer Services|Real Estate Investment Trusts|EXR(15.544B),15.544B
Consumer Services|Real Estate Investment Trusts|FCPT(1.962B),1.962B
Consumer Services|Real Estate Investment Trusts|FPI(0.341B),0.341B
Consumer Services|Real Estate Investment Trusts|FR(5.474B),5.474B
Consumer Services|Real Estate Investment Trusts|FRT(7.737B),7.737B
Consumer Services|Real Estate Investment Trusts|FSP(0.440B),0.440B
Consumer Services|Real Estate Investment Trusts|GEO(0.895B),0.895B
Consumer Services|Real Estate Investment Trusts|GLPI(9.919B),9.919B
Consumer Services|Real Estate Investment Trusts|GMRE(0.638B),0.638B
Consumer Services|Real Estate Investment Trusts|GNL(1.608B),1.608B
Consumer Services|Real Estate Investment Trusts|GPMT(0.571B),0.571B
Consumer Services|Real Estate Investment Trusts|HASI(4.235B),4.235B
Consumer Services|Real Estate Investment Trusts|HHC(5.368B),5.368B
Consumer Services|Real Estate Investment Trusts|HIW(4.116B),4.116B
Consumer Services|Real Estate Investment Trusts|HMG(0.012B),0.012B
Consumer Services|Real Estate Investment Trusts|HR(4.226B),4.226B
Consumer Services|Real Estate Investment Trusts|HST(11.306B),11.306B
Consumer Services|Real Estate Investment Trusts|HT(0.367B),0.367B
Consumer Services|Real Estate Investment Trusts|HTA(6.094B),6.094B
Consumer Services|Real Estate Investment Trusts|HTIA(0.000B),0.000B
Consumer Services|Real Estate Investment Trusts|IHT(0.031B),0.031B
Consumer Services|Real Estate Investment Trusts|ILPT(1.407B),1.407B
Consumer Services|Real Estate Investment Trusts|IMH(0.068B),0.068B
Consumer Services|Real Estate Investment Trusts|INN(1.042B),1.042B
Consumer Services|Real Estate Investment Trusts|IOR(0.050B),0.050B
Consumer Services|Real Estate Investment Trusts|IRM(9.351B),9.351B
Consumer Services|Real Estate Investment Trusts|IRT(1.448B),1.448B
Consumer Services|Real Estate Investment Trusts|IVR(0.817B),0.817B
Consumer Services|Real Estate Investment Trusts|JBGS(4.174B),4.174B
Consumer Services|Real Estate Investment Trusts|KIM(7.729B),7.729B
Consumer Services|Real Estate Investment Trusts|KRC(6.732B),6.732B
Consumer Services|Real Estate Investment Trusts|KREF(1.022B),1.022B
Consumer Services|Real Estate Investment Trusts|KRG(1.541B),1.541B
Consumer Services|Real Estate Investment Trusts|LADR(1.292B),1.292B
Consumer Services|Real Estate Investment Trusts|LAMR(8.504B),8.504B
Consumer Services|Real Estate Investment Trusts|LAND(0.448B),0.448B
Consumer Services|Real Estate Investment Trusts|LANDM(0.625B),0.625B
Consumer Services|Real Estate Investment Trusts|LANDO(0.000B),0.000B
Consumer Services|Real Estate Investment Trusts|LFT(0.082B),0.082B
Consumer Services|Real Estate Investment Trusts|LOAN(0.052B),0.052B
Consumer Services|Real Estate Investment Trusts|LSI(6.079B),6.079B
Consumer Services|Real Estate Investment Trusts|LTC(1.601B),1.601B
Consumer Services|Real Estate Investment Trusts|MAA(15.698B),15.698B
Consumer Services|Real Estate Investment Trusts|MAC(1.865B),1.865B
Consumer Services|Real Estate Investment Trusts|MDRR(0.013B),0.013B
Consumer Services|Real Estate Investment Trusts|MDRRP(0.000B),0.000B
Consumer Services|Real Estate Investment Trusts|MFA(1.750B),1.750B
Consumer Services|Real Estate Investment Trusts|MGP(9.981B),9.981B
Consumer Services|Real Estate Investment Trusts|MNR(1.738B),1.738B
Consumer Services|Real Estate Investment Trusts|MPW(12.455B),12.455B
Consumer Services|Real Estate Investment Trusts|NHI(3.089B),3.089B
Consumer Services|Real Estate Investment Trusts|NLY(11.466B),11.466B
Consumer Services|Real Estate Investment Trusts|NNN(7.295B),7.295B
Consumer Services|Real Estate Investment Trusts|NREF(0.097B),0.097B
Consumer Services|Real Estate Investment Trusts|NRZ(4.040B),4.040B
Consumer Services|Real Estate Investment Trusts|NSA(2.598B),2.598B
Consumer Services|Real Estate Investment Trusts|NTST(0.511B),0.511B
Consumer Services|Real Estate Investment Trusts|NXRT(1.019B),1.019B
Consumer Services|Real Estate Investment Trusts|NYC(0.127B),0.127B
Consumer Services|Real Estate Investment Trusts|NYMT(1.492B),1.492B
Consumer Services|Real Estate Investment Trusts|NYMTM(0.000B),0.000B
Consumer Services|Real Estate Investment Trusts|NYMTN(0.000B),0.000B
Consumer Services|Real Estate Investment Trusts|NYMTO(0.000B),0.000B
Consumer Services|Real Estate Investment Trusts|NYMTP(0.000B),0.000B
Consumer Services|Real Estate Investment Trusts|O(22.746B),22.746B
Consumer Services|Real Estate Investment Trusts|OFC(2.950B),2.950B
Consumer Services|Real Estate Investment Trusts|OHI(8.503B),8.503B
Consumer Services|Real Estate Investment Trusts|OLP(0.424B),0.424B
Consumer Services|Real Estate Investment Trusts|ORC(0.473B),0.473B
Consumer Services|Real Estate Investment Trusts|OUT(3.036B),3.036B
Consumer Services|Real Estate Investment Trusts|PCH(3.463B),3.463B
Consumer Services|Real Estate Investment Trusts|PEAK(16.284B),16.284B
Consumer Services|Real Estate Investment Trusts|PEB(2.971B),2.971B
Consumer Services|Real Estate Investment Trusts|PEI(0.173B),0.173B
Consumer Services|Real Estate Investment Trusts|PGRE(1.938B),1.938B
Consumer Services|Real Estate Investment Trusts|PINE(0.140B),0.140B
Consumer Services|Real Estate Investment Trusts|PLD(78.224B),78.224B
Consumer Services|Real Estate Investment Trusts|PLYM(0.373B),0.373B
Consumer Services|Real Estate Investment Trusts|PMT(1.818B),1.818B
Consumer Services|Real Estate Investment Trusts|PSA(41.083B),41.083B
Consumer Services|Real Estate Investment Trusts|PSA^C(nan),
Consumer Services|Real Estate Investment Trusts|PSA^D(nan),
Consumer Services|Real Estate Investment Trusts|PSA^E(nan),
Consumer Services|Real Estate Investment Trusts|PSA^F(nan),
Consumer Services|Real Estate Investment Trusts|PSA^K(nan),
Consumer Services|Real Estate Investment Trusts|PSA^L(nan),
Consumer Services|Real Estate Investment Trusts|PSB(3.935B),3.935B
Consumer Services|Real Estate Investment Trusts|PSTL(0.216B),0.216B
Consumer Services|Real Estate Investment Trusts|PW(0.139B),0.139B
Consumer Services|Real Estate Investment Trusts|QTS(4.132B),4.132B
Consumer Services|Real Estate Investment Trusts|RC(0.694B),0.694B
Consumer Services|Real Estate Investment Trusts|RCA(0.000B),0.000B
Consumer Services|Real Estate Investment Trusts|RCB(0.000B),0.000B
Consumer Services|Real Estate Investment Trusts|RCC(nan),
Consumer Services|Real Estate Investment Trusts|RCP(0.000B),0.000B
Consumer Services|Real Estate Investment Trusts|REG(9.076B),9.076B
Consumer Services|Real Estate Investment Trusts|REXR(6.527B),6.527B
Consumer Services|Real Estate Investment Trusts|RHP(4.064B),4.064B
Consumer Services|Real Estate Investment Trusts|RLJ(2.457B),2.457B
Consumer Services|Real Estate Investment Trusts|ROIC(1.836B),1.836B
Consumer Services|Real Estate Investment Trusts|RPAI(2.205B),2.205B
Consumer Services|Real Estate Investment Trusts|RPT(0.853B),0.853B
Consumer Services|Real Estate Investment Trusts|RWT(1.038B),1.038B
Consumer Services|Real Estate Investment Trusts|RYN(4.682B),4.682B
Consumer Services|Real Estate Investment Trusts|SACC(0.000B),0.000B
Consumer Services|Real Estate Investment Trusts|SACH(0.100B),0.100B
Consumer Services|Real Estate Investment Trusts|SBAC(29.182B),29.182B
Consumer Services|Real Estate Investment Trusts|SBRA(3.623B),3.623B
Consumer Services|Real Estate Investment Trusts|SCCB(0.000B),0.000B
Consumer Services|Real Estate Investment Trusts|SCCC(0.000B),0.000B
Consumer Services|Real Estate Investment Trusts|SELF(0.042B),0.042B
Consumer Services|Real Estate Investment Trusts|SITC(2.429B),2.429B
Consumer Services|Real Estate Investment Trusts|SKT(1.349B),1.349B
Consumer Services|Real Estate Investment Trusts|SLG(4.115B),4.115B
Consumer Services|Real Estate Investment Trusts|SNR(0.460B),0.460B
Consumer Services|Real Estate Investment Trusts|SOHO(0.050B),0.050B
Consumer Services|Real Estate Investment Trusts|SOHOB(0.000B),0.000B
Consumer Services|Real Estate Investment Trusts|SOHON(0.000B),0.000B
Consumer Services|Real Estate Investment Trusts|SOHOO(0.000B),0.000B
Consumer Services|Real Estate Investment Trusts|SPG(34.953B),34.953B
Consumer Services|Real Estate Investment Trusts|SQFT(0.038B),0.038B
Consumer Services|Real Estate Investment Trusts|STAG(5.032B),5.032B
Consumer Services|Real Estate Investment Trusts|STAR(1.207B),1.207B
Consumer Services|Real Estate Investment Trusts|STOR(8.477B),8.477B
Consumer Services|Real Estate Investment Trusts|STWD(6.115B),6.115B
Consumer Services|Real Estate Investment Trusts|SUI(16.287B),16.287B
Consumer Services|Real Estate Investment Trusts|SVC(2.002B),2.002B
Consumer Services|Real Estate Investment Trusts|TCI(0.192B),0.192B
Consumer Services|Real Estate Investment Trusts|TRMT(0.036B),0.036B
Consumer Services|Real Estate Investment Trusts|TRTX(0.816B),0.816B
Consumer Services|Real Estate Investment Trusts|TWO(1.806B),1.806B
Consumer Services|Real Estate Investment Trusts|UBA(0.616B),0.616B
Consumer Services|Real Estate Investment Trusts|UBP(0.538B),0.538B
Consumer Services|Real Estate Investment Trusts|UDR(12.446B),12.446B
Consumer Services|Real Estate Investment Trusts|UHT(0.845B),0.845B
Consumer Services|Real Estate Investment Trusts|UMH(0.680B),0.680B
Consumer Services|Real Estate Investment Trusts|UNIT(2.930B),2.930B
Consumer Services|Real Estate Investment Trusts|VER(7.900B),7.900B
Consumer Services|Real Estate Investment Trusts|VICI(14.554B),14.554B
Consumer Services|Real Estate Investment Trusts|VNO(6.916B),6.916B
Consumer Services|Real Estate Investment Trusts|VTR(19.328B),19.328B
Consumer Services|Real Estate Investment Trusts|WELL(28.453B),28.453B
Consumer Services|Real Estate Investment Trusts|WHLR(0.037B),0.037B
Consumer Services|Real Estate Investment Trusts|WHLRD(0.000B),0.000B
Consumer Services|Real Estate Investment Trusts|WHLRP(0.000B),0.000B
Consumer Services|Real Estate Investment Trusts|WMC(0.176B),0.176B
Consumer Services|Real Estate Investment Trusts|WPC(11.908B),11.908B
Consumer Services|Real Estate Investment Trusts|WPG(0.144B),0.144B
Consumer Services|Real Estate Investment Trusts|WRI(3.197B),3.197B
Consumer Services|Real Estate Investment Trusts|WSR(0.374B),0.374B
Consumer Services|Real Estate Investment Trusts|WY(25.237B),25.237B
Consumer Services|Real Estate|GOOD(0.654B),0.654B
Consumer Services|Real Estate|GOODM(0.000B),0.000B
Consumer Services|Real Estate|GOODN(0.000B),0.000B
Consumer Services|Real Estate|LMRK(0.308B),0.308B
Consumer Services|Real Estate|LMRKN(0.000B),0.000B
Consumer Services|Real Estate|LMRKO(0.000B),0.000B
Consumer Services|Real Estate|LMRKP(0.000B),0.000B
Consumer Services|Real Estate|RADI(0.832B),0.832B
Consumer Services|Real Estate|RHE(0.011B),0.011B
Consumer Services|Real Estate|SAFE(4.457B),4.457B
Consumer Services|Recreational Products/Toys|BBW(0.091B),0.091B
Consumer Services|Recreational Products/Toys|MIK(2.201B),2.201B
Consumer Services|Rental/Leasing Companies|CAR(3.070B),3.070B
Consumer Services|Rental/Leasing Companies|HYRE(0.223B),0.223B
Consumer Services|Rental/Leasing Companies|R(3.447B),3.447B
Consumer Services|Rental/Leasing Companies|SP(0.704B),0.704B
Consumer Services|Rental/Leasing Companies|UHAL(10.252B),10.252B
Consumer Services|Restaurants|ARCO(1.134B),1.134B
Consumer Services|Restaurants|ARKR(0.065B),0.065B
Consumer Services|Restaurants|ARMK(9.270B),9.270B
Consumer Services|Restaurants|BBQ(0.057B),0.057B
Consumer Services|Restaurants|BDL(0.046B),0.046B
Consumer Services|Restaurants|BFI(0.269B),0.269B
Consumer Services|Restaurants|BFIIW(0.000B),0.000B
Consumer Services|Restaurants|BH(0.362B),0.362B
Consumer Services|Restaurants|BJRI(1.176B),1.176B
Consumer Services|Restaurants|BLMN(2.115B),2.115B
Consumer Services|Restaurants|CAKE(2.334B),2.334B
Consumer Services|Restaurants|CBRL(3.562B),3.562B
Consumer Services|Restaurants|CHUY(0.820B),0.820B
Consumer Services|Restaurants|CMG(40.986B),40.986B
Consumer Services|Restaurants|CNNE(3.532B),3.532B
Consumer Services|Restaurants|DENN(1.083B),1.083B
Consumer Services|Restaurants|DIN(1.267B),1.267B
Consumer Services|Restaurants|DRI(16.940B),16.940B
Consumer Services|Restaurants|DS(0.231B),0.231B
Consumer Services|Restaurants|EAT(3.069B),3.069B
Consumer Services|Restaurants|FAT(0.168B),0.168B
Consumer Services|Restaurants|FATBP(0.000B),0.000B
Consumer Services|Restaurants|FATBW(0.000B),0.000B
Consumer Services|Restaurants|FRGI(0.424B),0.424B
Consumer Services|Restaurants|GRIL(0.028B),0.028B
Consumer Services|Restaurants|GTIM(0.046B),0.046B
Consumer Services|Restaurants|JACK(2.290B),2.290B
Consumer Services|Restaurants|JAX(0.124B),0.124B
Consumer Services|Restaurants|KRUS(0.218B),0.218B
Consumer Services|Restaurants|LIVX(0.304B),0.304B
Consumer Services|Restaurants|LOCO(0.684B),0.684B
Consumer Services|Restaurants|LUB(0.099B),0.099B
Consumer Services|Restaurants|MCD(160.519B),160.519B
Consumer Services|Restaurants|MYT(0.042B),0.042B
Consumer Services|Restaurants|NATH(0.238B),0.238B
Consumer Services|Restaurants|NDLS(0.422B),0.422B
Consumer Services|Restaurants|PBPB(0.134B),0.134B
Consumer Services|Restaurants|PLAY(1.763B),1.763B
Consumer Services|Restaurants|PZZA(3.350B),3.350B
Consumer Services|Restaurants|QSR(18.354B),18.354B
Consumer Services|Restaurants|RICK(0.518B),0.518B
Consumer Services|Restaurants|RRGB(0.445B),0.445B
Consumer Services|Restaurants|RUTH(0.716B),0.716B
Consumer Services|Restaurants|SBUX(123.581B),123.581B
Consumer Services|Restaurants|SHAK(5.121B),5.121B
Consumer Services|Restaurants|STKS(0.131B),0.131B
Consumer Services|Restaurants|TACO(0.380B),0.380B
Consumer Services|Restaurants|TAST(0.331B),0.331B
Consumer Services|Restaurants|TXRH(6.049B),6.049B
Consumer Services|Restaurants|WEN(4.668B),4.668B
Consumer Services|Restaurants|WING(4.141B),4.141B
Consumer Services|Restaurants|YUM(31.611B),31.611B
Consumer Services|Restaurants|YUMC(26.586B),26.586B
Consumer Services|Services-Misc. Amusement & Recreation|ACEL(1.011B),1.011B
Consumer Services|Services-Misc. Amusement & Recreation|AESE(0.093B),0.093B
Consumer Services|Services-Misc. Amusement & Recreation|CHDN(8.266B),8.266B
Consumer Services|Services-Misc. Amusement & Recreation|CPHC(0.063B),0.063B
Consumer Services|Services-Misc. Amusement & Recreation|CRSA(0.320B),0.320B
Consumer Services|Services-Misc. Amusement & Recreation|CRSAU(0.000B),0.000B
Consumer Services|Services-Misc. Amusement & Recreation|CRSAW(0.000B),0.000B
Consumer Services|Services-Misc. Amusement & Recreation|DIS(332.193B),332.193B
Consumer Services|Services-Misc. Amusement & Recreation|DKNG(22.829B),22.829B
Consumer Services|Services-Misc. Amusement & Recreation|DVD(0.082B),0.082B
Consumer Services|Services-Misc. Amusement & Recreation|EVRI(1.248B),1.248B
Consumer Services|Services-Misc. Amusement & Recreation|FUN(2.592B),2.592B
Consumer Services|Services-Misc. Amusement & Recreation|GDEN(0.603B),0.603B
Consumer Services|Services-Misc. Amusement & Recreation|GMBL(0.284B),0.284B
Consumer Services|Services-Misc. Amusement & Recreation|GMBLW(0.000B),0.000B
Consumer Services|Services-Misc. Amusement & Recreation|HOFV(0.206B),0.206B
Consumer Services|Services-Misc. Amusement & Recreation|HOFVW(0.000B),0.000B
Consumer Services|Services-Misc. Amusement & Recreation|IGT(3.452B),3.452B
Consumer Services|Services-Misc. Amusement & Recreation|LYV(18.023B),18.023B
Consumer Services|Services-Misc. Amusement & Recreation|MANU(2.617B),2.617B
Consumer Services|Services-Misc. Amusement & Recreation|MSGE(2.323B),2.323B
Consumer Services|Services-Misc. Amusement & Recreation|MSGS(4.481B),4.481B
Consumer Services|Services-Misc. Amusement & Recreation|MTN(11.874B),11.874B
Consumer Services|Services-Misc. Amusement & Recreation|NGMS(0.742B),0.742B
Consumer Services|Services-Misc. Amusement & Recreation|RSI(3.879B),3.879B
Consumer Services|Services-Misc. Amusement & Recreation|SEAS(2.856B),2.856B
Consumer Services|Services-Misc. Amusement & Recreation|SIX(3.402B),3.402B
Consumer Services|Services-Misc. Amusement & Recreation|SLGG(0.056B),0.056B
Consumer Services|Services-Misc. Amusement & Recreation|WBAI(1.059B),1.059B
Consumer Services|Services-Misc. Amusement & Recreation|WMG(18.527B),18.527B
Consumer Services|Services-Misc. Amusement & Recreation|WORX(0.025B),0.025B
Consumer Services|Telecommunications Equipment|AYRO(0.248B),0.248B
Consumer Services|Telecommunications Equipment|CALX(2.128B),2.128B
Consumer Services|Telecommunications Equipment|CCOI(2.834B),2.834B
Consumer Services|Telecommunications Equipment|GOGO(1.120B),1.120B
Consumer Services|Telecommunications Equipment|GSAT(3.725B),3.725B
Consumer Services|Telecommunications Equipment|MARK(0.338B),0.338B
Consumer Services|Telecommunications Equipment|NPA(0.597B),0.597B
Consumer Services|Telecommunications Equipment|NPAUU(0.000B),0.000B
Consumer Services|Telecommunications Equipment|NPAWW(0.000B),0.000B
Consumer Services|Telecommunications Equipment|ORBC(0.637B),0.637B
Consumer Services|Telecommunications Equipment|RNET(0.221B),0.221B
Consumer Services|Telecommunications Equipment|SATS(2.216B),2.216B
Consumer Services|Telecommunications Equipment|UCL(0.372B),0.372B
Consumer Services|Telecommunications Equipment|WIFI(0.563B),0.563B
Consumer Services|Television Services|AMCX(2.082B),2.082B
Consumer Services|Television Services|ATUS(16.141B),16.141B
Consumer Services|Television Services|CABO(12.441B),12.441B
Consumer Services|Television Services|CCZ(0.000B),0.000B
Consumer Services|Television Services|CHTR(126.304B),126.304B
Consumer Services|Television Services|CMCSA(240.759B),240.759B
Consumer Services|Television Services|DISCA(24.415B),24.415B
Consumer Services|Television Services|DISCB(26.159B),26.159B
Consumer Services|Television Services|DISCK(20.599B),20.599B
Consumer Services|Television Services|DISH(17.805B),17.805B
Consumer Services|Television Services|HMTV(0.438B),0.438B
Consumer Services|Television Services|LBRDA(35.293B),35.293B
Consumer Services|Television Services|LBRDK(35.972B),35.972B
Consumer Services|Television Services|LBTYB(15.879B),15.879B
Consumer Services|Television Services|LILA(2.705B),2.705B
Consumer Services|Television Services|LILAK(2.666B),2.666B
Consumer Services|Television Services|MSGN(0.908B),0.908B
