id,value
Basic Industries|Major Chemicals|IOSP(2.384B),2.384B
Basic Industries|Major Chemicals|KRA(1.173B),1.173B
Basic Industries|Major Chemicals|KRO(1.615B),1.615B
Basic Industries|Major Chemicals|KWR(5.087B),5.087B
Basic Industries|Major Chemicals|LIN(131.177B),131.177B
Basic Industries|Major Chemicals|LOOP(0.443B),0.443B
Basic Industries|Major Chemicals|LTHM(2.979B),2.979B
Basic Industries|Major Chemicals|LXFR(0.502B),0.502B
Basic Industries|Major Chemicals|LXU(0.117B),0.117B
Basic Industries|Major Chemicals|LYB(31.696B),31.696B
Basic Industries|Major Chemicals|MEOH(2.789B),2.789B
Basic Industries|Major Chemicals|MTX(2.306B),2.306B
Basic Industries|Major Chemicals|NEU(4.245B),4.245B
Basic Industries|Major Chemicals|NGVT(2.856B),2.856B
Basic Industries|Major Chemicals|NL(0.245B),0.245B
Basic Industries|Major Chemicals|OEC(0.974B),0.974B
Basic Industries|Major Chemicals|OLN(4.437B),4.437B
Basic Industries|Major Chemicals|PQG(2.115B),2.115B
Basic Industries|Major Chemicals|REGI(3.678B),3.678B
Basic Industries|Major Chemicals|REX(0.533B),0.533B
Basic Industries|Major Chemicals|ROG(3.183B),3.183B
Basic Industries|Major Chemicals|SEE(6.648B),6.648B
Basic Industries|Major Chemicals|SHI(2.635B),2.635B
Basic Industries|Major Chemicals|SXT(3.306B),3.306B
Basic Industries|Major Chemicals|TANH(0.056B),0.056B
Basic Industries|Major Chemicals|TOMZ(0.086B),0.086B
Basic Industries|Major Chemicals|TROX(2.640B),2.640B
Basic Industries|Major Chemicals|TSE(2.285B),2.285B
Basic Industries|Major Chemicals|VHI(0.495B),0.495B
Basic Industries|Major Chemicals|VNTR(0.415B),0.415B
Basic Industries|Major Chemicals|VRME(0.032B),0.032B
Basic Industries|Major Chemicals|VRMEW(0.000B),0.000B
Basic Industries|Major Chemicals|VVV(4.438B),4.438B
Basic Industries|Major Chemicals|WDFC(4.372B),4.372B
Basic Industries|Major Chemicals|WLK(10.777B),10.777B
Basic Industries|Major Chemicals|WLKP(0.822B),0.822B
Basic Industries|Metal Fabrications|AQMS(0.360B),0.360B
Basic Industries|Metal Fabrications|CSTM(1.894B),1.894B
Basic Industries|Metal Fabrications|FSTR(0.189B),0.189B
Basic Industries|Metal Fabrications|NPO(1.518B),1.518B
Basic Industries|Metal Fabrications|RS(8.091B),8.091B
Basic Industries|Metal Fabrications|RYI(0.513B),0.513B
Basic Industries|Metal Fabrications|ZEUS(0.167B),0.167B
Basic Industries|Military/Government/Technical|AENZ(0.392B),0.392B
Basic Industries|Military/Government/Technical|FLR(2.319B),2.319B
Basic Industries|Military/Government/Technical|GLDD(0.954B),0.954B
Basic Industries|Military/Government/Technical|GVA(1.468B),1.468B
Basic Industries|Military/Government/Technical|J(14.636B),14.636B
Basic Industries|Military/Government/Technical|KBR(4.525B),4.525B
Basic Industries|Military/Government/Technical|ORN(0.173B),0.173B
Basic Industries|Military/Government/Technical|ROAD(1.393B),1.393B
Basic Industries|Military/Government/Technical|STRL(0.575B),0.575B
Basic Industries|Mining & Quarrying of Nonmetallic Minerals (No Fuels)|CINR(0.268B),0.268B
Basic Industries|Mining & Quarrying of Nonmetallic Minerals (No Fuels)|CMP(2.159B),2.159B
Basic Industries|Mining & Quarrying of Nonmetallic Minerals (No Fuels)|GAU(0.262B),0.262B
Basic Industries|Mining & Quarrying of Nonmetallic Minerals (No Fuels)|GSV(0.236B),0.236B
Basic Industries|Mining & Quarrying of Nonmetallic Minerals (No Fuels)|HL(3.006B),3.006B
Basic Industries|Mining & Quarrying of Nonmetallic Minerals (No Fuels)|HL^B(nan),
Basic Industries|Mining & Quarrying of Nonmetallic Minerals (No Fuels)|IPI(0.394B),0.394B
Basic Industries|Mining & Quarrying of Nonmetallic Minerals (No Fuels)|LEU(0.297B),0.297B
Basic Industries|Mining & Quarrying of Nonmetallic Minerals (No Fuels)|MDU(5.671B),5.671B
Basic Industries|Mining & Quarrying of Nonmetallic Minerals (No Fuels)|MLM(20.248B),20.248B
Basic Industries|Mining & Quarrying of Nonmetallic Minerals (No Fuels)|SLCA(0.781B),0.781B
Basic Industries|Mining & Quarrying of Nonmetallic Minerals (No Fuels)|SND(0.126B),0.126B
Basic Industries|Mining & Quarrying of Nonmetallic Minerals (No Fuels)|SQM(13.952B),13.952B
Basic Industries|Mining & Quarrying of Nonmetallic Minerals (No Fuels)|SUM(2.625B),2.625B
Basic Industries|Mining & Quarrying of Nonmetallic Minerals (No Fuels)|TECK(11.376B),11.376B
Basic Industries|Mining & Quarrying of Nonmetallic Minerals (No Fuels)|USLM(0.769B),0.769B
Basic Industries|Mining & Quarrying of Nonmetallic Minerals (No Fuels)|UUUU(0.694B),0.694B
Basic Industries|Mining & Quarrying of Nonmetallic Minerals (No Fuels)|VMC(21.284B),21.284B
Basic Industries|Miscellaneous|HCCI(0.604B),0.604B
Basic Industries|Miscellaneous|NEWA(0.041B),0.041B
Basic Industries|Other Specialty Stores|AMRK(0.208B),0.208B
Basic Industries|Package Goods/Cosmetics|CHD(20.499B),20.499B
Basic Industries|Package Goods/Cosmetics|CVLB(0.701B),0.701B
Basic Industries|Package Goods/Cosmetics|ECL(59.886B),59.886B
Basic Industries|Package Goods/Cosmetics|PG(318.965B),318.965B
Basic Industries|Package Goods/Cosmetics|SCL(2.695B),2.695B
Basic Industries|Package Goods/Cosmetics|UL(146.239B),146.239B
Basic Industries|Paints/Coatings|AXTA(6.499B),6.499B
Basic Industries|Paints/Coatings|FOE(1.243B),1.243B
Basic Industries|Paints/Coatings|PPG(32.192B),32.192B
Basic Industries|Paints/Coatings|RPM(11.020B),11.020B
Basic Industries|Paper|CLW(0.676B),0.676B
Basic Industries|Paper|GLT(0.683B),0.683B
Basic Industries|Paper|IP(18.806B),18.806B
Basic Industries|Paper|MERC(0.864B),0.864B
Basic Industries|Paper|NP(0.907B),0.907B
Basic Industries|Paper|RFP(0.750B),0.750B
Basic Industries|Paper|RYAM(0.524B),0.524B
Basic Industries|Paper|SUZ(18.471B),18.471B
Basic Industries|Paper|SWM(1.371B),1.371B
Basic Industries|Paper|UFS(1.913B),1.913B
Basic Industries|Paper|VRS(0.422B),0.422B
Basic Industries|Precious Metals|AAU(0.098B),0.098B
Basic Industries|Precious Metals|AEM(14.838B),14.838B
Basic Industries|Precious Metals|AG(3.876B),3.876B
Basic Industries|Precious Metals|AGI(3.008B),3.008B
Basic Industries|Precious Metals|ASM(0.119B),0.119B
Basic Industries|Precious Metals|AU(8.649B),8.649B
Basic Industries|Precious Metals|AUMN(0.126B),0.126B
Basic Industries|Precious Metals|AUY(4.320B),4.320B
Basic Industries|Precious Metals|AXU(0.390B),0.390B
Basic Industries|Precious Metals|BHP(191.695B),191.695B
Basic Industries|Precious Metals|BTG(5.022B),5.022B
Basic Industries|Precious Metals|BVN(2.606B),2.606B
Basic Industries|Precious Metals|CCJ(6.342B),6.342B
Basic Industries|Precious Metals|CDE(2.045B),2.045B
Basic Industries|Precious Metals|CHNR(0.106B),0.106B
Basic Industries|Precious Metals|CLF(8.281B),8.281B
